,0,1,2,3
0,-0.31977576,-0.31508008,-0.27855572,-0.25734636
1,-0.32398003,-0.31927118,-0.2827246,-0.26153982
2,-0.32567585,-0.32094115,-0.28443074,-0.26326156
3,-0.32413286,-0.31944424,-0.28295237,-0.26177377
4,-0.32194164,-0.31732544,-0.28086287,-0.25966728
5,-0.32058883,-0.31606027,-0.27963632,-0.25842342
6,-0.31999958,-0.3155378,-0.27915782,-0.25794324
7,-0.32003903,-0.31558427,-0.27924845,-0.25803185
8,-0.32072133,-0.31627482,-0.27996373,-0.2587253
9,-0.32075095,-0.31633052,-0.28005227,-0.25879657
10,-0.32017004,-0.3157748,-0.2795312,-0.25830275
11,-0.31930786,-0.31493077,-0.27871183,-0.25753996
12,-0.31851536,-0.31415284,-0.27793205,-0.25678346
13,-0.3184842,-0.31410158,-0.27787167,-0.25669497
14,-0.31944335,-0.31497616,-0.27877912,-0.2575973
15,-0.3212793,-0.31668913,-0.28057033,-0.25940856
16,-0.32245156,-0.31773096,-0.28168893,-0.26056433
17,-0.32509935,-0.32036048,-0.28443056,-0.26337832
18,-0.3290552,-0.32442498,-0.28862143,-0.2676485
19,-0.33353993,-0.32904685,-0.2933549,-0.27246475
20,-0.33802867,-0.3336276,-0.29802528,-0.277206
21,-0.34289238,-0.33855587,-0.30306196,-0.2822936
22,-0.3475959,-0.34329572,-0.30788872,-0.28713134
23,-0.35125962,-0.34695384,-0.3115967,-0.2908013
24,-0.35365373,-0.34929577,-0.314018,-0.29316527
25,-0.35462976,-0.3501296,-0.3150019,-0.2941316
26,-0.35487607,-0.35026878,-0.31526816,-0.29440963
27,-0.35390824,-0.3492685,-0.31432712,-0.29347354
28,-0.35167623,-0.34698752,-0.31205404,-0.29123032
29,-0.34942013,-0.34469694,-0.30965212,-0.28883556
30,-0.3477588,-0.34305745,-0.3078126,-0.28691888
31,-0.34655976,-0.34187168,-0.30649462,-0.28554034
32,-0.34616166,-0.34144378,-0.306015,-0.28506082
33,-0.34601292,-0.3412789,-0.30582625,-0.28489456
34,-0.34595343,-0.34125262,-0.30577326,-0.28485692
35,-0.34630322,-0.34164298,-0.3061421,-0.28525388
36,-0.34699416,-0.3423689,-0.30683956,-0.28598875
37,-0.34709963,-0.3425395,-0.30693117,-0.28608534
38,-0.34653682,-0.34209567,-0.30641025,-0.2855344
39,-0.34607816,-0.34178805,-0.30609527,-0.2851805
